intial len of rule 1397
Iteration over rules is done initial precision: [1.0]  final precision:[0.994314143567875]
Final Rules len 1385
========================train===================================
| Metric            |   Score |
|-------------------+---------|
| balanced accuracy |   99.29 |
| accuracy          |   99.29 |
| f1                |   99.29 |
| precision         |   99.3  |
| recall            |   99.29 |


		Classification report [train] ::
                     precision    recall  f1-score   support

Insufficient_Weight       0.99      1.00      0.99       181
      Normal_Weight       0.99      0.97      0.98       191
     Obesity_Type_I       1.00      0.99      1.00       234
    Obesity_Type_II       1.00      0.99      0.99       198
   Obesity_Type_III       1.00      1.00      1.00       216
 Overweight_Level_I       0.98      0.99      0.99       193
Overweight_Level_II       0.98      1.00      0.99       194

           accuracy                           0.99      1407
          macro avg       0.99      0.99      0.99      1407
       weighted avg       0.99      0.99      0.99      1407

================================================================
========================test===================================
| Metric            |   Score |
|-------------------+---------|
| balanced accuracy |   81.42 |
| accuracy          |   81.68 |
| f1                |   82.04 |
| precision         |   84.19 |
| recall            |   81.68 |


		Classification report [test] ::
                     precision    recall  f1-score   support

Insufficient_Weight       0.90      0.88      0.89        91
      Normal_Weight       0.83      0.57      0.68        96
     Obesity_Type_I       0.91      0.80      0.85       117
    Obesity_Type_II       0.99      0.88      0.93        99
   Obesity_Type_III       0.94      1.00      0.97       108
 Overweight_Level_I       0.76      0.73      0.74        97
Overweight_Level_II       0.54      0.83      0.65        96

           accuracy                           0.82       704
          macro avg       0.84      0.81      0.82       704
       weighted avg       0.84      0.82      0.82       704

================================================================
Rules set ::
		class[Obesity_Type_II]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 1.0)', '(Age in [0.256,0.376])', '(Height in [0.648,0.742])', '(Weight in [0.56,0.62])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [0.5,0.597])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.492,0.545])', '(SCC == 0.0)', '(FAF in [0.264,0.454])', '(TUE in [0.0,0.429])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Obesity_Type_II]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 1.0)', '(Age in [0.248,0.376])', '(Height in [0.626,0.742])', '(Weight in [0.551,0.62])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [0.145,0.5])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.492,0.504])', '(SCC == 0.0)', '(FAF in [0.264,0.459])', '(TUE in [0.0,0.001])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Obesity_Type_I]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 0.0)', '(Age in [0.545,0.588])', '(Height in [0.22,0.227])', '(Weight in [0.281,0.286])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [0.5,0.5])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.22,0.315])', '(SCC == 0.0)', '(FAF in [0.0,0.0])', '(TUE in [0.0,0.0])', '(CALC == 2.0)', '(MTRANS == 0.0)']
		class[Obesity_Type_III]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 0.0)', '(Age in [0.249,0.268])', '(Height in [0.322,0.475])', '(Weight in [0.475,0.489])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [1.0,1.0])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.01,0.076])', '(SCC == 0.0)', '(FAF in [0.036,0.106])', '(TUE in [0.5,0.5])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Obesity_Type_II]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 1.0)', '(Age in [0.377,0.634])', '(Height in [0.603,0.62])', '(Weight in [0.544,0.579])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [0.034,0.5])', '(NCP in [0.611,0.885])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.363,0.492])', '(SCC == 0.0)', '(FAF in [0.018,0.119])', '(TUE in [0.0,0.0])', '(CALC == 2.0)', '(MTRANS == 0.0)']
		class[Obesity_Type_III]  - coverage[0.498%] -  precision[100.0%] >> ['(Gender == 0.0)', '(Age in [0.148,0.249])', '(Height in [0.475,0.61])', '(Weight in [0.489,0.708])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [1.0,1.0])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.076,0.977])', '(SCC == 0.0)', '(FAF in [0.106,0.482])', '(TUE in [0.337,0.5])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Obesity_Type_III]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 0.0)', '(Age in [0.249,0.268])', '(Height in [0.322,0.475])', '(Weight in [0.475,0.489])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [1.0,1.0])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.01,0.076])', '(SCC == 0.0)', '(FAF in [0.036,0.106])', '(TUE in [0.5,0.5])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Obesity_Type_III]  - coverage[0.711%] -  precision[100.0%] >> ['(Gender == 0.0)', '(Age in [0.249,0.268])', '(Height in [0.39,0.475])', '(Weight in [0.489,0.493])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [1.0,1.0])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.076,0.655])', '(SCC == 0.0)', '(FAF in [0.024,0.106])', '(TUE in [0.367,0.5])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Insufficient_Weight]  - coverage[0.071%] -  precision[100.0%] >> ['(Gender == 1.0)', '(Age in [0.073,0.122])', '(Height in [0.382,0.684])', '(Weight in [0.075,0.097])', '(family_history_with_overweight == 0.0)', '(FAVC == 0.0)', '(FCVC in [1.0,1.0])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.5,0.5])', '(SCC == 0.0)', '(FAF in [0.333,0.667])', '(TUE in [0.5,0.5])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Obesity_Type_II]  - coverage[0.071%] -  precision[100.0%] >> ['(Gender == 0.0)', '(Age in [0.146,0.22])', '(Height in [0.302,0.804])', '(Weight in [0.459,0.642])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [1.0,1.0])', '(NCP in [0.0,0.0])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.0,0.0])', '(SCC == 0.0)', '(FAF in [0.0,0.0])', '(TUE in [0.0,1.0])', '(CALC == 2.0)', '(MTRANS == 3.0)']
		class[Overweight_Level_II]  - coverage[0.213%] -  precision[100.0%] >> ['(Gender == 1.0)', '(Age in [0.143,0.156])', '(Height in [0.451,0.535])', '(Weight in [0.306,0.306])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [0.5,0.5])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.5,0.5])', '(SCC == 0.0)', '(FAF in [0.555,0.979])', '(TUE in [0.705,0.722])', '(CALC == 3.0)', '(MTRANS == 3.0)']
		class[Obesity_Type_II]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 1.0)', '(Age in [0.612,0.634])', '(Height in [0.603,0.624])', '(Weight in [0.579,0.587])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [0.5,0.516])', '(NCP in [0.611,0.659])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.363,0.363])', '(SCC == 0.0)', '(FAF in [0.119,0.159])', '(TUE in [0.0,0.0])', '(CALC == 2.0)', '(MTRANS == 0.0)']
		class[Obesity_Type_II]  - coverage[0.142%] -  precision[100.0%] >> ['(Gender == 1.0)', '(Age in [0.354,0.366])', '(Height in [0.62,0.645])', '(Weight in [0.545,0.548])', '(family_history_with_overweight == 1.0)', '(FAVC == 1.0)', '(FCVC in [0.434,0.652])', '(NCP in [0.667,0.667])', '(CAEC == 2.0)', '(SMOKE == 0.0)', '(CH2O in [0.512,0.533])', '(SCC == 0.0)', '(FAF in [0.0,0.0])', '(TUE in [0.307,0.363])', '(CALC == 2.0)', '(MTRANS == 0.0)']
